Country,Year,Happiness Score,GDP per Capita,Social Support,Healthy life expectancy,Freedom
Finland,2015,7.406,1.29025,1.31826,0.88911,0.64169
United States,2015,7.119,1.39451,1.24711,0.86179,0.54604
Finland,2019,7.769,1.34,1.587,0.986,0.596
United States,2019,6.892,1.433,1.457,0.874,0.454
